stage,base_model,epochs,temperature,n_repeats,fine_tuned_model,test_n,valid_n,n_chem,invalid_n,invalid_rate,invalid_call_n,total_calls,invalid_row_n,invalid_row_rate,OME,logR2,OME_chem,logR2_chem,status,error
model_sweep,gpt-4o-2024-08-06,5,0.2,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.258624,0.6517542650934007,0.26416190476190476,0.6441395447788408,complete,
model_sweep,gpt-4.1-2025-04-14,5,0.2,20,ft:gpt-4.1-2025-04-14:ramprasad-group::DrLQhCnR,25,25,21,0,0.0,0,500,0,0.0,0.271654,0.568610643068723,0.26836190476190475,0.5798294540972432,complete,
model_sweep,gpt-4o-mini-2024-07-18,5,0.2,20,ft:gpt-4o-mini-2024-07-18:ramprasad-group::DrVqV7I8,25,25,21,25,0.05,25,500,0,0.0,0.34497777777777777,0.438654266353966,0.34021415343915334,0.43870111852147187,complete,
model_sweep,gpt-4.1-mini-2025-04-14,5,0.2,20,ft:gpt-4.1-mini-2025-04-14:ramprasad-group::DrOd3MLg,25,25,21,0,0.0,0,500,0,0.0,0.359432,0.2989901804487345,0.34378333333333333,0.3302082096992479,complete,
model_sweep,gpt-4.1-nano-2025-04-14,5,0.2,20,ft:gpt-4.1-nano-2025-04-14:ramprasad-group::DrQwg6Ys,25,25,21,0,0.0,0,500,0,0.0,0.4104560000000001,0.0937119377054959,0.3990809523809524,0.09851980729132892,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.05,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.24204599999999996,0.6680997292547107,0.24603809523809522,0.6647328108334236,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.0,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.246274,0.6637256397121482,0.2512095238095238,0.6601100956235788,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.3,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.24720400000000006,0.681411112754914,0.2512690476190476,0.6776155396628545,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.15,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.24929199999999996,0.6650325914700336,0.25429523809523813,0.6587428885494389,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.1,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.254662,0.6562294648900953,0.2600226190476191,0.65090803538931,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.2,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.255258,0.6593858238131969,0.26208452380952385,0.649757398310212,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.4,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.254972,0.66095923994003,0.2638607142857142,0.6465838515199642,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.25,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.26125,0.6498569289257508,0.26782857142857147,0.6405437543460037,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.35,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.261816,0.643976232258406,0.27047380952380956,0.6286776968034486,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.45,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.266748,0.6365488255913332,0.2735904761904762,0.624957794190887,complete,
temperature_sweep,gpt-4o-2024-08-06,5,0.5,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.26566999999999996,0.6363204969064926,0.2752035714285714,0.6210252175278901,complete,
epoch_sweep,gpt-4o-2024-08-06,5,0.05,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.244028,0.6669239624608462,0.24868571428571426,0.6634928776438228,complete,
epoch_sweep,gpt-4o-2024-08-06,5,0.1,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrSl2mhv,25,25,21,0,0.0,0,500,0,0.0,0.24509799999999998,0.6663300396237877,0.2498904761904762,0.6606020914103068,complete,
epoch_sweep,gpt-4o-2024-08-06,3,0.1,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrXYVmAQ,25,25,21,0,0.0,0,500,0,0.0,0.2850539999999999,0.52254683110795,0.28826666666666667,0.5236709792408382,complete,
epoch_sweep,gpt-4o-2024-08-06,3,0.05,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrXYVmAQ,25,25,21,0,0.0,0,500,0,0.0,0.29618,0.504307414738643,0.29490476190476195,0.5117856410659707,complete,
epoch_sweep,gpt-4o-2024-08-06,7,0.1,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrZ450ga,25,25,21,0,0.0,0,500,0,0.0,0.324536,0.43767251728955614,0.3153083333333333,0.45522914272698933,complete,
epoch_sweep,gpt-4o-2024-08-06,7,0.05,20,ft:gpt-4o-2024-08-06:ramprasad-group::DrZ450ga,25,25,21,0,0.0,0,500,0,0.0,0.32806,0.42166211126449826,0.32035357142857146,0.4289211982633473,complete,
