strategy,split,OME,logR2,n,mean_sigma,n_dropped_fp
random,0,0.3446113369058782,0.27854489153835804,21,0.41647988885888776,0
random,1,0.3178376340033671,0.8360175130406184,20,0.4273016852460284,0
random,2,0.1783832331358104,0.8128262349222717,20,0.41572548849008967,0
random,3,0.3424095648086557,0.7370426822091287,20,0.3839177797887469,0
random,4,0.29513101141174236,0.7372212614002276,20,0.4276985956077106,0
random,5,0.19164119337407948,0.8688940604148059,20,0.4161947258662866,0
random,6,0.24914510614197388,0.8411203622148038,20,0.4229117016540517,0
random,7,0.32842220648804954,0.676118109312605,20,0.39475119630647615,0
random,8,0.3657803542311585,0.18984485704736698,20,0.39471993729281274,0
random,9,0.2991325561626326,0.35587643946204894,20,0.39712215380414145,0
