strategy,split,OME,logR2,n,mean_sigma,n_dropped_fp
variable,0,0.3470023187038086,0.6532261680611253,21,0.3806691777388882,0
variable,1,0.24996115272702019,0.8417708994859852,20,0.4113712599242766,0
variable,2,0.29409564787083886,0.5276913204882188,20,0.4056639768104523,0
variable,3,0.1874396897286228,0.8814540539094234,20,0.42541866079662344,0
variable,4,0.21380381794293654,0.6385511147478371,20,0.4527460425958859,0
variable,5,0.2208110969484045,0.80787839904589,20,0.3922989638898439,0
variable,6,0.3155728216847212,0.5196128897855135,20,0.4183987807666381,0
variable,7,0.3530264946324933,0.7502821117294804,20,0.4269995173421557,0
variable,8,0.39002550270185243,0.4432391052573069,20,0.36959968238817326,0
variable,9,0.36566083852616516,0.625216410658182,20,0.4236708276610293,0
