bits,radius,kernel,rg_OME,rg_logR2
2048,2,tanimoto_rbf,0.24450960721931417,0.40297705830335506
1024,2,tanimoto_rbf,0.24557915169919473,0.407533594635495
2048,3,tanimoto_rbf,0.254593376029005,0.31708869652437277
1024,3,tanimoto_rbf,0.25682921592704877,0.31043347698378576
1024,2,rbf,0.266488784458267,0.06923177268958292
1024,3,rbf,0.266488784458267,0.06923177268958292
2048,2,rbf,0.266488784458267,0.06923177268958292
2048,3,rbf,0.266488784458267,0.06923177268958292
2048,2,tanimoto,0.30040261649344785,-0.011977298682952497
1024,2,tanimoto,0.30041585188436737,-0.012016772518802732
2048,3,tanimoto,0.3004695283901185,-0.012678087316024378
1024,3,tanimoto,0.30049697584026547,-0.012766586266958146
