strategy,split,OME,logR2,n,mean_half
restricted-group,0,0.2539231944533409,0.6753042331437062,6,0.06574999999999993
restricted-group,1,0.09603045572183144,0.4624384650507548,6,0.06608333333333331
restricted-group,2,0.16739224795428623,0.7231769525861337,6,0.08399999999999998
restricted-group,3,0.11820982400623033,0.47635867936697385,6,0.04424999999999996
restricted-group,4,0.1809218734003084,0.7179115760127499,5,0.05349999999999996
random,0,0.38838913632248534,-0.015417199071809495,21,0.10449999999999998
random,1,0.35626993903313836,0.6743467633030529,20,0.16412499999999997
random,2,0.10148550873689947,0.905437506644206,20,0.10275000000000004
random,3,0.3259881874391184,0.5615007933197325,20,0.124175
random,4,0.2625714223781079,0.7807181313345064,20,0.0943
random,5,0.29788024264374185,0.5175595645278749,20,0.15134999999999998
random,6,0.20458042413892633,0.6396526990531748,20,0.07842499999999995
random,7,0.2777713646586109,0.7279753640307957,20,0.11355
random,8,0.18499411167546462,0.5020406647103922,20,0.10359999999999998
random,9,0.0826181410086696,0.944796209968934,20,0.07309999999999998
variable,0,0.14013810442723018,0.9287968683158314,21,0.06938095238095235
variable,1,0.23750040598036376,0.8225500753648088,20,0.16472500000000004
variable,2,0.26607674789303576,0.6024781822165921,20,0.09567499999999998
variable,3,0.19613820266043255,0.6817862094672356,20,0.04707499999999999
variable,4,0.20944926628370925,0.5905166752349751,20,0.05634999999999999
variable,5,0.18829452109831948,0.7866277082706248,20,0.07049999999999998
variable,6,0.2362435492369285,0.7607445658135866,20,0.10592499999999998
variable,7,0.16696088750974838,0.8295026433570192,20,0.12827499999999997
variable,8,0.1990402997893144,0.7046951925013853,20,0.13015000000000002
