strategy,split,OME,logR2,n,mean_sigma
random,0,0.38904354153388176,0.04114477076746881,21,0.11529126883830454
random,1,0.337399738823034,0.6822334103682215,20,0.12438649207172603
random,2,0.12787884319163728,0.8870296989825774,20,0.0791242179063932
random,3,0.3155353274712153,0.6054121671528025,20,0.10086257879234557
random,4,0.242550548283676,0.8218132456514214,20,0.10182189458734839
random,5,0.3036222882289795,0.486310643163001,20,0.13712343976787061
random,6,0.21547329866696013,0.6208354880792728,20,0.078039678439811
random,7,0.2594963646586109,0.749642548761315,20,0.11458510323075692
random,8,0.17167193824884017,0.5299593592731353,20,0.06756561586561952
random,9,0.09204733017967974,0.9314438578781783,20,0.04700539182165954
